"filing_year","area","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2011,16,319,2.980,20,1,298,44,254,2035,42,41,121,70,24,69,229,270,28,22,6,182,116,169,101,13,15,11,11,2,4,113,32,153,113,32,125,0,0,28,44,254,44,226,0,28
2011,17,118,3.330,12,1,105,31,74,2450,31,11,26,26,11,23,82,94,11,10,1,59,46,55,39,4,7,3,7,1,0,35,7,63,35,7,52,0,0,11,15,90,15,79,0,11
2011,18,63,3.540,11,1,51,9,42,2000,8,7,19,10,7,13,38,47,4,3,1,29,22,27,20,2,2,2,1,0,1,18,7,26,18,7,22,0,0,4,4,47,4,43,0,4
2011,19,397,3.420,51,2,344,109,235,2202.500,106,32,104,68,34,109,235,299,45,36,9,212,132,190,109,22,23,21,15,1,8,130,23,191,129,21,149,1,2,42,33,311,32,267,1,44
2011,20,146,3.720,10,1,135,38,97,1800,38,25,42,24,6,41,94,116,19,16,3,78,57,68,48,10,9,9,7,1,2,45,9,81,45,8,63,0,1,18,17,118,16,100,1,18
2011,21,254,3.240,18,4,232,63,169,2000,64,29,82,44,13,61,171,197,35,29,6,147,85,126,71,21,14,18,11,3,3,82,16,134,80,16,101,2,0,33,35,197,35,162,0,35
2011,22,403,2.070,15,3,385,82,303,2380,79,29,137,96,44,94,291,339,46,34,12,207,178,192,147,15,31,14,20,1,11,120,42,223,117,42,180,3,0,43,55,330,53,286,2,44
2011,23,786,6.470,43,4,739,176,563,1950,171,89,286,133,60,252,487,653,86,65,21,457,282,414,239,43,43,39,26,4,17,262,67,410,257,67,329,5,0,81,73,666,71,582,2,84
2011,24,613,2.610,34,4,575,153,422,1962,150,85,171,114,55,136,439,496,79,57,22,329,246,298,198,31,48,28,29,3,19,197,51,327,193,49,254,4,2,73,85,490,82,414,3,76
2011,25,1694,7.740,59,21,1614,269,1345,1700,260,317,609,315,113,542,1072,1476,138,96,42,985,629,926,550,59,79,51,45,8,34,598,156,860,588,153,735,10,3,125,260,1354,251,1225,9,129
